date,t2m,d2m,tp,u10,v10,swvl1,wind_speed,relative_humidity,risk_score
2017-07-10,58.571594,47.744938,0.0019680967,0.58866566,0.17690498,0.29191595,0.6146728,67.23842,0.0
2017-07-11,57.718365,49.164875,0.0028538331,0.6998093,-0.72050405,0.3181144,1.0044198,73.11158,0.0
2017-07-12,62.386486,50.83228,0.0012303502,-0.48043525,-0.98562676,0.3073338,1.0964844,65.882195,0.0
2017-07-13,64.48724,52.17645,0.00095381675,-0.3462746,-0.62481266,0.29453194,0.71435076,64.3174,0.0
2017-07-14,64.90367,51.347412,0.00078207656,-0.50910974,0.107239306,0.28735718,0.5202817,61.481087,0.0
2017-07-15,64.971695,51.364475,0.0007811223,0.955719,0.8809843,0.27869692,1.2998201,61.37421,0.0
2017-07-16,61.688248,53.359127,0.0019921747,1.48631,0.34778485,0.2917838,1.5264572,74.11055,0.0
2017-07-17,61.345684,51.698147,0.0019608925,1.1754806,0.8050301,0.30411017,1.4247204,70.57074,0.0
2017-07-18,61.034664,48.6042,0.00078309915,0.43213484,1.0685556,0.2949934,1.1526281,63.606144,0.0
2017-07-19,61.58551,48.738422,0.0006600661,-0.2506462,0.47741857,0.28438926,0.53921425,62.692074,0.0
2017-07-20,62.099274,49.38797,0.00058577495,0.6873298,0.82678366,0.27549952,1.0751714,63.07578,0.0
2017-07-21,57.87148,46.730972,0.0024909244,1.2750673,-0.1666779,0.29550472,1.2859153,66.36727,0.0
2017-07-22,58.71124,43.37201,0.00034948727,1.0213026,0.20119144,0.2881997,1.0409309,56.68431,0.0
2017-07-23,63.818787,48.370037,0.00013334608,1.936029,1.4822472,0.27005142,2.4382913,57.162296,0.0
2017-07-24,58.99998,50.901333,0.0030756285,2.4983065,1.8578639,0.29101008,3.1133895,74.483986,0.0
2017-07-25,55.563354,48.68337,0.0011176866,1.2726936,0.6785905,0.30769032,1.4423016,77.61927,0.0
2017-07-26,55.49735,48.923218,0.0016944599,-0.15458171,-0.33106372,0.311628,0.3653747,78.50577,0.0
2017-07-27,56.99438,48.60789,0.0018163483,-0.4770974,-0.768996,0.31487682,0.9049733,73.496925,0.0
2017-07-28,58.560486,47.993465,0.0010860186,-0.3571937,0.44305572,0.30484977,0.5691096,67.89529,0.0
2017-07-29,58.527985,48.541553,0.0014410797,0.22577679,0.26765722,0.30593142,0.35016504,69.384056,0.0
2017-07-30,60.22749,48.928955,0.0009920752,0.62524617,-0.41738996,0.29761872,0.7517627,66.25382,0.0
2017-07-31,61.544804,50.3048,0.0011288164,0.48052105,1.013366,0.29064572,1.1215218,66.55401,0.0
2017-08-01,57.2346,47.576862,0.0022963055,1.10648,2.0980902,0.3038766,2.371978,70.10154,0.0
2017-08-02,54.814655,46.471394,0.00244537,0.57052076,1.8272613,0.31086135,1.9142565,73.40008,0.0
2017-08-03,54.30089,49.681103,0.003372943,0.35839215,1.7868743,0.3318672,1.8224611,84.34826,0.0
2017-08-04,55.12001,49.954502,0.0029257766,0.9530432,1.1856129,0.33997083,1.5211737,82.70661,0.0
2017-08-05,57.53622,50.206158,0.00033947628,-0.2618154,-0.063587025,0.3289694,0.26942644,76.49997,0.0
2017-08-06,62.094807,51.364902,6.878003e-05,-0.3974193,-0.45173073,0.3123271,0.6016666,67.88736,0.0
2017-08-07,63.309826,52.358322,0.00055860745,0.44690308,0.573093,0.303629,0.7267448,67.47321,0.0
2017-08-08,61.599133,51.462048,0.001114937,1.1688067,1.210562,0.30188915,1.6827267,69.33421,0.0
2017-08-09,60.586533,49.40132,0.00041431622,0.2646487,0.71376103,0.300617,0.76124483,66.576996,0.0
2017-08-10,61.443188,49.509007,0.00070629764,0.50743,0.6944838,0.29266545,0.8601122,64.84616,0.0
2017-08-11,56.079556,46.347973,0.001202107,0.7759678,0.89444274,0.29937282,1.1841258,69.780655,0.0
2017-08-12,54.617218,45.584484,0.0019911125,-0.32157347,-0.039323658,0.30767748,0.3239689,71.4907,0.0
2017-08-13,53.583935,47.46802,0.0034125114,-0.86250967,-0.48426554,0.33117175,0.9891593,79.708374,0.0
2017-08-14,48.851337,44.175907,0.0049994937,0.3455402,-0.20746851,0.360963,0.40303996,83.822655,0.0
2017-08-15,48.2841,43.94533,0.0024416181,0.8414679,1.0266722,0.36358714,1.3274503,84.87005,0.0
2017-08-16,49.48195,42.820164,0.0018511812,0.054807812,1.2506524,0.36024904,1.2518528,77.73615,0.0
2017-08-17,47.688335,41.14772,0.002498269,0.14019088,0.97913766,0.3590612,0.98912287,77.94419,0.0
2017-08-18,46.030727,39.082806,0.0015591258,0.7864334,1.1143887,0.35417423,1.3639426,76.57496,0.0
2017-08-19,44.89368,37.84706,0.0015956134,0.39589465,0.6546995,0.35062778,0.7650909,76.17542,0.0
2017-08-20,45.601456,38.27428,0.0016503381,-0.5060698,-0.1923499,0.3493319,0.5413918,75.40851,0.0
2017-08-21,48.236034,40.415157,0.000906158,-0.53721786,-1.0017933,0.34567013,1.1367466,74.22417,0.0
2017-08-22,50.274395,42.183067,0.0004259417,0.20523424,-0.19069035,0.33687583,0.2801498,73.653656,0.0
2017-08-23,48.67039,42.577946,0.0012129025,0.76173943,0.6763582,0.3391074,1.0186793,79.38489,0.0
2017-08-24,48.277874,41.0623,0.0020416602,-0.6050642,0.123844594,0.34402272,0.6176084,75.98865,0.0
2017-08-25,48.890854,41.781605,0.00097006117,-1.1279426,-0.6556794,0.33982775,1.3046724,76.35774,0.0
2017-08-26,46.74681,41.737415,0.0015049108,-0.91922927,-0.85511655,0.34395865,1.2554708,82.61429,0.0
2017-08-27,45.517086,41.221622,0.0027039107,0.020320265,-0.09696806,0.35751215,0.099074304,84.83988,0.0
2017-08-28,46.114117,41.144596,0.0018943554,0.18628228,0.91503406,0.36087242,0.9338032,82.69718,0.0
2017-08-29,44.673656,35.897255,0.0015284629,-0.5232203,-0.597795,0.3584943,0.7944296,71.13455,0.0
2017-08-30,44.28982,39.466743,0.0036464736,-1.3702569,-1.2727675,0.369619,1.8701714,83.0413,0.0
2017-08-31,41.866604,36.913017,0.0029226576,-1.0363952,-0.32853854,0.37659362,1.0872225,82.44801,0.0
2018-05-01,32.288258,25.39023,0.001576296,1.0919615,1.5888381,0.3751515,1.9278969,75.42833,0.0
2018-05-02,28.37098,20.35524,0.00167026,1.7475766,0.6678298,0.37197456,1.8708342,71.56622,0.0
2018-05-03,27.60431,15.792464,0.0003468896,-0.367311,0.4914855,0.36539662,0.61357594,60.701378,0.0
2018-05-04,31.987108,21.349451,0.0004218052,-1.6565771,0.109819494,0.3644493,1.6602132,64.45001,0.0
2018-05-05,35.515472,25.838112,0.0021826627,-0.83460146,1.3141769,0.37361345,1.5567981,67.55001,0.0
2018-05-06,33.892834,22.791832,0.0008626185,0.6878409,1.8607221,0.3755007,1.9837872,63.451878,0.0
2018-05-07,33.082375,23.032587,0.000719477,0.73577386,0.84455293,0.3746123,1.120104,66.2098,0.0
